epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,7466.56,1.75605,1.81193,2.12305,0.00054,0.06818,0.00034,0.00013,5.0749,84004.2,2101.44,0.001208,0.001208,0.001208
22,7829.23,1.66842,1.77733,2.05825,0.0013,0.02273,0.00047,0.00014,4.81559,6998.9,1076.6,0.0011684,0.0011684,0.0011684
23,8172.02,1.51636,1.6954,1.92229,0.0012,0.125,0.00076,0.00023,5.02833,6732.8,358.376,0.0011288,0.0011288,0.0011288
24,8502.29,1.3551,1.56195,1.75959,0.0012,0.125,0.00076,0.00023,5.02833,6732.8,358.376,0.0010892,0.0010892,0.0010892
25,8860.17,1.34656,1.5809,1.84841,0.01194,0.03409,0.0017,0.00063,4.43058,15.6762,66.5303,0.0010496,0.0010496,0.0010496
26,9209.6,1.53104,1.7824,1.97043,0.01194,0.03409,0.0017,0.00063,4.43058,15.6762,66.5303,0.00101,0.00101,0.00101
27,9579.62,1.56238,1.66827,1.97327,0.01332,0.04545,0.00616,0.00284,3.16283,23.9629,6.26237,0.0009704,0.0009704,0.0009704
28,9955.93,1.47876,1.60559,1.81199,0.2785,0.13636,0.10463,0.03748,3.08949,9.10707,4.67312,0.0009308,0.0009308,0.0009308
29,10328.1,1.40608,1.5801,1.82324,0.2785,0.13636,0.10463,0.03748,3.08949,9.10707,4.67312,0.0008912,0.0008912,0.0008912
30,10688.7,1.43854,1.60451,1.8097,0.57555,0.11364,0.10735,0.04194,2.72689,4.55921,3.7846,0.0008516,0.0008516,0.0008516
31,11052.7,1.19245,1.40265,1.62477,0.38355,0.14773,0.08878,0.02948,2.72957,7.6378,4.01207,0.000812,0.000812,0.000812
32,11388.9,1.25586,1.45714,1.67481,0.38355,0.14773,0.08878,0.02948,2.72957,7.6378,4.01207,0.0007724,0.0007724,0.0007724
33,11767.2,1.24887,1.40295,1.70159,0.34821,0.11364,0.09409,0.04495,2.67903,9.06182,4.84282,0.0007328,0.0007328,0.0007328
34,12110.5,1.36777,1.48467,1.76812,0.34821,0.11364,0.09409,0.04495,2.67903,9.06182,4.84282,0.0006932,0.0006932,0.0006932
35,12509.1,1.21968,1.44109,1.64472,0.75595,0.18182,0.19715,0.14572,2.18216,5.82341,3.70377,0.0006536,0.0006536,0.0006536
36,12848.6,1.15398,1.36773,1.65652,0.6636,0.25,0.29643,0.22113,1.89892,3.51158,2.55094,0.000614,0.000614,0.000614
37,13193,1.18815,1.36644,1.67159,0.6636,0.25,0.29643,0.22113,1.89892,3.51158,2.55094,0.0005744,0.0005744,0.0005744
38,13526.8,1.0962,1.3064,1.64292,0.57068,0.37766,0.38505,0.25966,1.52933,2.77856,2.11867,0.0005348,0.0005348,0.0005348
39,13860.1,1.19856,1.4466,1.69698,0.72249,0.44379,0.52754,0.34884,1.35167,2.48847,1.96918,0.0004952,0.0004952,0.0004952
40,14165.5,1.13173,1.34583,1.58606,0.72249,0.44379,0.52754,0.34884,1.35167,2.48847,1.96918,0.0004556,0.0004556,0.0004556
41,14491.8,1.20871,1.72788,1.77385,0.65569,0.51136,0.52937,0.3632,1.28095,2.02733,1.90934,0.000416,0.000416,0.000416
