epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,87145.9,1.83013,1.80245,2.38066,0.48304,0.7027,0.61108,0.21442,2.12273,2.13723,2.80373,0.0010496,0.0010496,0.0010496
98,145378,1.82804,1.95544,2.22753,0.48304,0.7027,0.61108,0.21442,2.12273,2.13723,2.80373,0.0010397,0.0010397,0.0010397
99,145613,1.78935,1.76723,2.23991,0.47468,0.59459,0.56774,0.20354,2.17303,2.29089,2.89228,0.0010298,0.0010298,0.0010298
100,145860,1.5956,1.72566,2.09082,0.53318,0.62162,0.58918,0.24215,2.12482,2.24069,2.86484,0.0010199,0.0010199,0.0010199
101,146111,1.76478,1.61642,2.13376,0.53318,0.62162,0.58918,0.24215,2.12482,2.24069,2.86484,0.00101,0.00101,0.00101
102,146373,1.70708,1.77075,2.23467,0.59913,0.52532,0.58518,0.22859,2.1849,2.14482,2.96444,0.0010001,0.0010001,0.0010001
103,146615,1.87453,1.87888,2.47168,0.48666,0.67568,0.58222,0.15716,2.38941,2.34484,3.3168,0.0009902,0.0009902,0.0009902
104,146853,1.71947,1.67988,2.14737,0.48666,0.67568,0.58222,0.15716,2.38941,2.34484,3.3168,0.0009803,0.0009803,0.0009803
105,147099,1.83117,1.90968,2.19787,0.65184,0.5062,0.53705,0.1557,2.33893,2.33306,3.29363,0.0009704,0.0009704,0.0009704
106,147343,1.71662,1.63642,2.16159,0.65184,0.5062,0.53705,0.1557,2.33893,2.33306,3.29363,0.0009605,0.0009605,0.0009605
107,147585,2.02657,1.94805,2.48369,0.76355,0.61117,0.72718,0.28113,1.99728,2.30458,2.65979,0.0009506,0.0009506,0.0009506
108,147834,1.79723,1.74296,2.28185,0.78019,0.89189,0.83419,0.3903,1.77906,2.03606,2.38763,0.0009407,0.0009407,0.0009407
109,148107,1.68242,1.52578,2.25052,0.78019,0.89189,0.83419,0.3903,1.77906,2.03606,2.38763,0.0009308,0.0009308,0.0009308
110,148353,1.71245,1.76703,2.14129,0.74728,0.91892,0.85632,0.45224,1.69569,1.78624,2.28711,0.0009209,0.0009209,0.0009209
111,148600,1.72982,1.60382,2.12637,0.81695,0.91892,0.86786,0.46283,1.69024,1.57261,2.30444,0.000911,0.000911,0.000911
112,148857,1.76525,1.67176,2.17417,0.81695,0.91892,0.86786,0.46283,1.69024,1.57261,2.30444,0.0009011,0.0009011,0.0009011
